title_raw	traffic	title	rank
Main_Page	8826536	Main Page	1
Hyphen-minus	1102895	Hyphen-minus	2
NetScout_Systems	164599	NetScout Systems	3
Aquaman_(film)	131946	Aquaman (film)	4
Bird_Box_(film)	127234	Bird Box (film)	5
George_H._W._Bush	109536	George H. W. Bush	6
Alfred_Werner_Maurer	99521	Alfred Werner Maurer	7
Saleem_Dabbour	95989	Saleem Dabbour	8
Lists_of_deaths_by_year	90288	Lists of deaths by year	9
Spider-Man:_Into_the_Spider-Verse	89905	Spider-Man: Into the Spider-Verse	10
HSL_and_HSV	71218	HSL and HSV	11
Earth	66056	Earth	12
Standard_Insurance_Company	59388	Standard Insurance Company	13
Milky_Way	56222	Milky Way	14
Avengers:_Endgame	51574	Avengers: Endgame	15
Bumblebee_(film)	49495	Bumblebee (film)	16
Freddie_Mercury	48257	Freddie Mercury	17
Jason_Momoa	45797	Jason Momoa	18
Go,_Dog._Go!	45587	Go, Dog. Go!	19
2.0_(film)	44383	2.0 (film)	20
